"title","price","url","description","district","source_id","city_id","image_data"
"1к. квартира, 36,9 м², 2/9 эт.","6100000","https://www.avito.ru/kazan/kvartiry/1k._kvartira_369_m_29_et._7239293536?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Inpab2F0WmtaZjJ3NmZXUDMiO301CDisJgAAAA","Пpoдаетcя светлaя, простоpная oднокомнaтнaя квapтиpа в киpпичнoм дoмe, 1996 г. Пocтройки в Приволжском районе. Кoмфopтный 2й этaж. Тoлстыe стeны, чтo обеспечивает oтличную шумоизoляцию. Квapтиpа чиcтaя, теплая, уютная. Спокойные соседи. Шлагбаум, видеонаблюдение как в подъезде, так и на территории двора.","Приволжский","1","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
"1к. квартира, 35 м², 2/3 эт.","4750000","https://www.avito.ru/kazan/kvartiry/1k._kvartira_35_m_23_et._7258424700?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Inpab2F0WmtaZjJ3NmZXUDMiO301CDisJgAAAA","В продаже однокомнатная квартира 35 кв. М. ЖК «Царево Village». Уютная, светлая, теплая, просторная не угловая квартира. Сделан хороший ремонт и качественных материалов. В квартире имеется и остается все необходимое для проживания. Квартира в одних руках взрослого собственника, заменены батареи и двухконтурный котел индивидуального отопления Baxi Eco Lux. Проведен интернет телевидение, газ контроль. Полы ламинат высокого качества и керамогранит, полы теплые. Стены отштукатурены, потолок натяжной, окна и двери лоджии пластиковые, входная группа Гардиан сейфовыми замками, отопление и теплая вода регулируется в любое время года бесперебойная подача воды от скважины, отопление газовое. Коммунальные платежи самые низкие относительно всего города. Самый удобный и теплый этаж, соседи порядочные, всегда тихо. На первом этаже предусмотрена парковка для колясок и велосипедов. Развитая инфраструктура, в шаговой доступности магазины, кафе, рестораны, аптеки, поликлиника, три детских сада, многопрофильный лицей с бассейном «Прогресс», торговый центр, фитнес, баня, автосервис, парк, барбекю зона, детские площадки. Продажа от взрослого собственника без каких либо комиссий, квартира свободна к показу и чистой продаже, вся сумма в договоре. Риэлторов прошу не беспокоить.","Приволжский","1","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
"1к. квартира, 31,3 м², 2/5 эт.","6100000","https://www.avito.ru/kazan/kvartiry/1k._kvartira_313_m_25_et._7251160746?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Inpab2F0WmtaZjJ3NmZXUDMiO301CDisJgAAAA","Предлагаем вашему вниманию уютную квартиру в кирпичном доме Венгерского проекта. Дом находится в центральной части Казани, недалеко от парка Горького и ТЦ Корстон. Рядом театры, скверы, парки, учебные заведения, рестораны, кафе — всё что нужно для комфортной жизни в шикарной локации города, с развитой инфраструктурой. Дом кирпичный, тёплый, тихий зелёный двор. Квартира подойдет как для собственного проживания, так и для выгодной сдачи в аренду. Комфортный второй этаж, хорошие соседи. В квартире выполнен косметический ремонт. Частично остается мебель и техника. Вариант заезжай и живи! Отличный вариант для студентов, до вузов рукой подать. Идеально подойдет подойдет для молодой семьи, рядом все необходимое в шаговой доступности, детский садик в соседнем дворе, рядом школы 111 и гимназия 28, поликлиники и магазины. Парк Горького станет вашим любимым местом для прогулок и отдыха. О Квартире:  Общая площадь квартиры — 31,3 квм;  Жилая комната 13,9 квм. ;  Кухня — 8,9 кв. М;  Лоджия 1,5 квм обшита вагонкой; Важно: Квартира готова к проживанию; Юридически чистый объект;  Взрослый собственник, без детских долей!  В собственности более 5 лет;  В шаговой доступности остановка общественного транспорта, множество крупных супермаркетов, аптеки, поликлиники, почта, отделения банков, салоны красоты, кафе, пекарни, скверы и парки.","Московский","1","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
"1к. квартира, 30,3 м², 1/5 эт.","5900000","https://www.avito.ru/kazan/kvartiry/1k._kvartira_303_m_15_et._7251395448?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Inpab2F0WmtaZjJ3NmZXUDMiO301CDisJgAAAA","Продается великолепная квартира в кирпичном доме, которая станет идеальным местом для комфортной жизни! Этот уютный уголок был создан с любовью и заботой: ремонт выполнен для себя с использованием только высококачественных материалов. В квартире остается вся мебель и частично техника, что позволит вам сразу же наслаждаться жизнью без лишних забот. Вы будете приятно удивлены ухоженным двором и дружелюбными соседями, создающими атмосферу уюта и спокойствия. В шаговой доступности находятся все необходимые объекты инфраструктуры: детские сады, школы, магазины и живописная набережная Казанки, где можно приятно проводить время с семьей и друзьями. К тому же, в доме функционирует собственное Тсж, что обеспечивает низкие коммунальные платежи и высокий уровень обслуживания. Дополнительным преимуществом является наличие собственной кладовой, где вы сможете хранить вещи и поддерживать порядок. Объект юридически чистый, что гарантирует вам безопасность сделки. Быстрый выход на сделку позволит вам оперативно стать владельцем этой замечательной квартиры. Не упустите возможность приобрести жилье, в котором каждая деталь продумана для вашего комфорта! Звоните прямо сейчас, чтобы записаться на просмотр! Код пользователя: 23454. Номер в базе: 5764658.","Ново-Савиновский ","1","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
"1к. квартира, 50 м², 10/10 эт.","9000000","https://www.avito.ru/kazan/kvartiry/1k._kvartira_50_m_1010_et._7251321584?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Inpab2F0WmtaZjJ3NmZXUDMiO301CDisJgAAAA","Продам квартиру в новом семейном жилом комплексе «Взлет». Квартира на 10ом этаже кирпичного дома, что является преимуществом (отсутствие топота сверху), так же имеется технический этаж. В квартире выполнен дизайнерский ремонт, с продуманной до мелочей планировкой. Закрытая территория, современная детская площадка, видеонаблюдение 24/7. Развитая инфраструктура: в шаговой доступности остановка общественного транспорта, детские сады, школы, магазины. Не упустите квартиру мечтыЗвоните! Код пользователя: 138070. Номер в базе: 3697704.","Ново-Савиновский ","1","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
"1к. квартира, 33,6 м², 13/19 эт.","8650000","https://www.avito.ru/kazan/kvartiry/1k._kvartira_336_m_1319_et._7251718136?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Inpab2F0WmtaZjJ3NmZXUDMiO301CDisJgAAAA","Продаётся 1 комн. Квартира по ул. Проспект Победы 139А, Корп. 2 (ЖК Победа). 1 собственник, чистая продажа. Расположена на 13 этаже. Общая площадь 36 КВ. М. Квартира тёплая, с современным ремонтом. Окна пластиковые, витражная лоджия, выход с кухни. Санузел совмещённый в современном кафеле, входная дверь металлическая с шумоизоляцией, натяжные потолки, на полу ламинат, проведен интернет, на батареях установлены регуляторы тепла. Хорошее месторасположение, рядом строится новая станция метро «Сахарова», в шаговой доступности школы, детсады, Ометьевский лес, ТЦ Южный, ТЦ Мега, Мегастрой, Obi. Записывайтесь на просмотр, видео по запросу. Код пользователя: 120829. Номер в базе: 5780220.","Кировский","1","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
"1к. квартира, 29,1 м², 4/5 эт.","4590000","https://www.avito.ru/kazan/kvartiry/1k._kvartira_291_m_45_et._7259095691?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Inpab2F0WmtaZjJ3NmZXUDMiO301CDisJgAAAA","Продаю квартиру полностью сделанную в 2018 году с основания, залитые полы, новая продуманная проводка, натяжные потолки по всей квартире, выведен новый щиток. На кухне новый кухонный гарнитур установлен в ноябре 2024 г., газовая колонка заменена официально на бойлер. В ванной плитка, большая акриловая ванна. В прихожей раздвижными дверьми закрыта ниша для стиралки и верхней одежды. Комната широкая, удобна для зонирования. Квартира теплая, не меняли чугунные батареи, в самые холода даже ходим без носков. Соседи все семейные, спокойные. С парковкой проблем нет, во дворе детская площадка большая, спортивная площадка, детский садик, школа в 7 минутах ходьбы, кругом магазины, до остановки «Интернат» 10 мин ходьбы. Через 2 дома озеро «Комсомольское». Чистая продажа,","Советский","1","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
"1к. квартира, 30 м², 4/5 эт.","4850000","https://www.avito.ru/kazan/kvartiry/1k._kvartira_30_m_45_et._7251487266?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Inpab2F0WmtaZjJ3NmZXUDMiO301CDisJgAAAA","Продается уютная 1комнатная квартира в одном из самых востребованных районов Казани — авиастроительном! Эта светлая и просторная квартира расположена на 4 этаже кирпичного дома, что гарантирует вам надежность и тепло в любое время года. Площадь остекленного балкона в 2,5 кв. М. Позволит вам наслаждаться утренним кофе на свежем воздухе или использовать его как дополнительное пространство для хранения. Соседи — доброжелательные и спокойные люди, что создаст атмосферу уюта и комфорта. Квартира находится в собственности более нескольких лет, что обеспечивает чистоту сделки и отсутствие какихлибо юридических проблем. Коммунальные платежи летом 27003000руб., зимой 5500. Расположение дома просто идеальное! В шаговой доступности находятся детские сады 348, 308, 368,141. Школа 62, аптеки и магазины, что делает жизнь здесь максимально удобной для вас и вашей семьи. Не упустите возможность стать владельцем этой замечательной квартиры! Записывайтесь на просмотр уже сегодня — мы будем рады вашим звонкам и сообщениям. Ваш новый дом ждет вас! Код пользователя: 120829. Номер в базе: 5778199.","Московский","1","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
"2к. квартира, 54,3 м²","8 950 000 ","https://kazan.cian.ru/sale/flat/309741927/","Вашему внимaнию предлагается!

B прoдажe светлая, аккуратная , уютнaя двухкомнатная квapтира в центре Hoво-Сaвинoвcкoго рaйона.

О KВAPТИPE:

Общая площaдь квартиры 54,3м2 по СНиП.
Функциoнальнaя планировка, пpoстоpныe комнаты по 17,4м², 13 м². Кухня 9,8м2.
Санузел раздельный. Большая лоджия.
Отличный вариант для комфортного проживания и сдачи в аренду.
Квартира в очень хорошем состоянии с евро- ремонтом.
Окна пластиковый стеклопакет.
Натяжные потолки с точечными светильниками. Пол: напольная плитка + качественный линолеум.

О ДОМЕ:

Станция метро ""Козья Слобода"" в 15 минутах ходьбы.
Удобная транспортная развязка, можно уехать в любую точку города, на любом транспорте.
В пешей доступности вся инфраструктура города.
Рядом:
Татнефть Арена, Аквапарк Ривьера , Казан центр семьи, сетевые магазины, поликлиника.
Детские сады:  411, 414. Гимназия 155, лицей 177, ""Адымнар"" .
Прилегающие улицы: ул. Сибгата Хакима , ул. Мусина , ул. Меридианная , ул. Абдуллы Бичурина.

О СДЕЛКЕ:
Два взрослых собственника
Без обременения и долгов.
Вся стоимость в договоре.
Любая форма оплаты.

Посетить объект с детальным его изучением можно в удобное для Вас время по предварительной договоренности по телефону.

ТОРГ реальному покупателю !!!","Ново-Савиновский,","2","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
"2к. квартира, 57,8 м²","15 500 000 ","https://kazan.cian.ru/sale/flat/306429550/","Изысканная квартира, авторский дизайн, потолки 2,95м, все новое и высококлассное от кирпича. Все что на фото остается.
Отличнaя шумoизoляция, пpoстор, основательноcть и нaдeжнocть, высокие потолки, ж/б перекрытия.
В квартире выполнен качественный ремонт:
- Полная замена всех инженерных систем- электрики, водоснабжения, водоотведения и отопления;
- Новые окна с тройным остеклением;
- Пол: инженерная изностойкая дубовая паркетная доска, керамогранит от ведущих производителей;
- Интеллектуальное освещение, несколько режимов яркости;
- Сплит- система, Вы сами выбираете комфортную температуру в квартире. В отделке использовались только премиальные материалы высокого качества. 
Вся мебель изготавливалась на заказ по авторскому дизайн- проекту у ведущих производителей. Встроенная высококлассная техника  посудомоечная и стиральная машины, духовка, СВЧ, холодильник. Всё продумано до мелочей. 
Комфортный этаж, тишина и покой. Окна выходят в тихий зеленый двор. Респектабельные соседи, особая культура и атмосфера исторического центра Казани ( Вахитовский район )
Ваше окружение это новые клубные дома- 300 метров ЖК Квартал Сюита и ЖК Шаляпина, Кастура таун на Островского (600 метров), резиденция на Хади Атласи. Слева благоустроенная набережная озера Кабан, новый театр Галиаскара Камала  на Назарбаева (500 метров), который станет архитектурной доминантой  и точкой притяжения всех культурных активностей города. В комфортной шаговой доступности  пешеходные улицы Петербургская и Баумана, самый большой торгово- развлекательный центр КазанМолл на Павлюхина (100 метров), Корстон и Парк Горького на Ершова , мечеть Энилэр, Российско- исламский университет и все ведущие ВУЗы города, театры, музеи, достопримечательности Казани.
У квартиры чистая юридическая история, один взрослый собственник, свободная продажа.
Беспроигрышная инвестиция:
В долгосрочную аренду такой класс квартиры будет сдаваться от 90 000р., в посуточную, не менее 7 500р./сутки в сезон.
Для тех кто хочет сохранить и приумножить!
Рядом Зинина  Достоевского Щербаковский переулок Волкова Амирхана Еники Лесгафта  Пушкина Калинина
Быстрый выход на сделку:
- одобрим для Вас ипотеку, поможем ее рефинансировать, когда ставка снизится;
- содействие в получении положительного ипотечного решения от ведущих банков-партнеров с пониженной % ставкой;
- рассмотрение ипотеки от 2-х часов по 2 документам; 
- электронная регистрация сделки без очередей в комфортном офисе;
- гарантия ЮРИДИЧЕСКОЙ чистоты и безопасности, опровождение сделки юристом Вам в подарок;
- покупка недвижимости с использованием херсонских сертификатов, материнского капитала.
Важно! В наличие it- ипотека 6%+ комбо, семейная под 6%, рассрочка на строящееся жилье в ЦЕНТРе Казани, напрямую от застройщиков. Звоните, найдем решение!"," р-н Приволжский","2","1","/home/keylux/AMR/apart/backend/src/main/kotlin/uploads/"
